fragId,SMILES,SMILES Naked,HBD,HBA,cLogP,Heteroatoms,Rings,Rot. Bonds,Aromatic Bonds,Acidic Groups,Basic Groups,Atomic Polarizability
C001,C#CCCC1(CCC(=O)N2C3CCC2CC(O)(Cc2ccccc2)C3)N=N1,CC(=O)N1C2CCC1CC(O)(Cc1ccccc1)C2,1,2,2.1334999999999997,3,3,2,6,0,0,44.866653000000014
C002,C#CCCC1(CCC(=O)Nc2cc(S(N)(=O)=O)ccc2-n2cc(C)cn2)N=N1,CC(=O)Nc1cc(S(N)(=O)=O)ccc1-n1cc(C)cn1,2,5,0.7865199999999998,8,2,3,11,0,0,40.16110200000001
C003,C#CCCC1(CCNC(=O)COc2ccc3c(C)c(C)c(=O)oc3c2C)N=N1,CNC(=O)COc1ccc2c(C)c(C)c(=O)oc2c1C,1,4,1.8430599999999995,5,2,3,11,0,0,42.043481
C004,C#CCCC1(CCC(=O)N2CCc3ccsc3C2c2cscn2)N=N1,CC(=O)N1CCc2ccsc2C1c1cscn1,0,4,2.6986000000000008,5,3,1,10,0,0,37.923516
C006,C#CCCC1(CCNC(=O)C2CCc3nnn(C4CCCC4)c3C2)N=N1,CNC(=O)C1CCc2nnn(C3CCCC3)c2C1,1,4,1.2440999999999993,5,3,2,5,0,0,41.41786000000001
C007,C#CCCC1(CCC(=O)NC(C)c2cnc(C(F)(F)F)s2)N=N1,CC(=O)NC(C)c1cnc(C(F)(F)F)s1,1,3,2.359,7,1,2,5,0,0,27.654137
C008,C#CCCC1(CCNC(=O)c2oc(C(C)(C)C)nc2C(F)F)N=N1,CNC(=O)c1oc(C(C)(C)C)nc1C(F)F,1,3,2.2693000000000003,6,1,2,5,0,0,31.853102
C009,C#CCCC1(CCC(=O)NC(C(=O)N2CCCCC2)C(C)C)N=N1,CCC1CN(C(C)=O)C(CC)CN1C(C)=O,0,2,1.2542,4,1,2,0,0,0,39.593446
C010,C#CCCC1(CCNC(=O)Cc2c(C(F)(F)F)coc2C)N=N1,CNC(=O)Cc1c(C(F)(F)F)coc1C,1,2,1.89532,6,1,2,5,0,0,26.882929999999998
C011,C#CCCC1(CCNC(=O)C2(c3ccccc3C#N)CCC2)N=N1,CNC(=O)C1(c2ccccc2C#N)CCC1,1,2,1.72598,3,2,2,6,0,0,35.21710200000001
C012,C#CCCC1(CCNC(=O)[C@H]2OCCO[C@H]2C(F)(F)F)N=N1,CNC(=O)[C@@H]1OCCO[C@@H]1C(F)(F)F,1,3,0.07869999999999977,7,1,1,0,0,0,24.164929999999995
C013,C#CCCC1(CCC(=O)N2CCOC(Cn3cncn3)C2)N=N1,CC(=O)N1CCOC(Cn2cncn2)C1,0,5,-0.4746000000000008,6,2,2,5,0,0,31.179102000000007
