uniprot_ac;gene_name;binddegs_fragments;kleiner;west;
Q9NS69;TOMM22;202;;;
P30519;HMOX2;200;yes;yes;
P80303;NUCB2;196;;;
Q99595;TIMM17A;195;;;
P21796;VDAC1;193;yes;yes;
O60830;TIMM17B;192;;yes;
P24390;KDELR1;191;;;
Q9UHG3;PCYOX1;187;;yes;
Q15392;DHCR24;186;;yes;
P45880;VDAC2;183;yes;yes;
Q70HW3;SLC25A26;182;;;
O75153;CLUH;179;;yes;
O43169;CYB5B;178;;;
Q9H2D1;SLC25A32;173;;;
Q8WTV0;SCARB1;171;;yes;
Q567V2;MPV17L2;170;;;
P43307;SSR1;169;;;
P09601;HMOX1;168;;;
P42785;PRCP;168;yes;yes;
Q9Y282;ERGIC3;167;;;
Q5VW38;GPR107;166;;;
Q69YU5;BRAWNIN;165;;;
O43676;NDUFB3;164;;;
O60725;ICMT;164;;;
Q8N511;TMEM199;164;;yes;
P49721;PSMB2;162;;;
P50897;PPT1;162;;yes;
Q14108;SCARB2;162;;yes;
Q9H061;TMEM126A;161;;;
Q9BQE5;APOL2;161;;;
O75844;ZMPSTE24;161;;yes;
Q9HB40;SCPEP1;157;;yes;
Q13505;MTX1;157;;;
O75964;ATP5MG;155;;;
Q9NPH0;ACP6;151;;;
P42892;ECE1;150;yes;yes;
P14406;COX7A2;149;;;
Q99720;SIGMAR1;147;;yes;
Q15629;TRAM1;147;;;
Q96G23;CERS2;146;;;
O00461;GOLIM4;145;;yes;
Q9HD20;ATP13A1;144;;;
Q86XL3;ANKLE2;143;;;
Q8N4H5;TOMM5;142;;;
O95197;RTN3;142;;;
Q9NRY5;FAM114A2;142;;;
O15173;PGRMC2;141;;;
Q16850;CYP51A1;141;;;
Q9UDW1;UQCR10;139;;;
Q96A26;FAM162A;139;;;
Q15165;PON2;138;;;
Q9UBX3;SLC25A10;138;;yes;
Q13126;MTAP;138;;yes;
Q9Y2R0;COA3;137;;yes;
Q9P2W9;STX18;136;;;
O43657;TSPAN6;135;;yes;
P07099;EPHX1;135;;yes;
A6NIH7;UNC119B;134;;;
Q02818;NUCB1;134;;yes;
P07602;PSAP;133;;yes;
Q9HD45;TM9SF3;133;;;
Q9UIQ6;LNPEP;132;;yes;
O60637;TSPAN3;132;;yes;
Q8N4Q0;ZADH2;130;;;
Q14257;RCN2;130;;yes;
O75503;CLN5;130;;;
O14949;UQCRQ;130;;;
Q9UQB8;BAIAP2;128;;;
Q8IV08;PLD3;128;;yes;
Q93050;ATP6V0A1;127;;yes;
P23786;CPT2;127;;;
Q3SXM5;HSDL1;126;;;
P51648;ALDH3A2;126;;;
Q5BJF2;TMEM97;126;;yes;
Q9C0H2;TTYH3;124;;yes;
Q8NCH0;CHST14;124;;yes;
P55786;NPEPPS;122;;yes;
Q9BRR6;ADPGK;121;;;
Q9H1E5;TMX4;120;;;
P67812;SEC11A;120;;;
Q9NQC3;RTN4;120;;yes;
Q9BTX1;NDC1;119;;;
Q8NHP8;PLBD2;118;;yes;
Q9H4I3;TRABD;117;;;
Q13510;ASAH1;117;;yes;
Q9NR77;PXMP2;116;;;
O43772;SLC25A20;116;;yes;
P10619;CTSA;115;;yes;
Q8NCC3;PLA2G15;115;;;
Q9NX00;TMEM160;115;;;
Q9UHX1;PUF60;114;;yes;
Q8TB61;SLC35B2;114;;yes;
Q15800;MSMO1;114;;;
O96005;CLPTM1;114;;yes;
Q9UDX5;MTFP1;113;;;
O14773;TPP1;113;;yes;
Q9H6V9;LDAH;113;;;
P03886;MT-ND1;112;;;
P04062;GBA;112;;yes;
P46379;BAG6;112;;;
P43490;NAMPT;111;;;
Q9UM22;EPDR1;111;;;
Q8WUJ1;CYB5D2;111;;;
Q9Y3D7;PAM16;111;;;
O95470;SGPL1;111;;;
Q15070;OXA1L;111;;;
P33947;KDELR2;111;;;
Q8N0U8;VKORC1L1;110;;;
Q9H3G5;CPVL;109;;;
Q9UMR5;PPT2;109;;;
Q9NUJ1;ABHD10;107;;;
Q9Y680;FKBP7;107;;;
Q9BSK2;SLC25A33;106;;;
Q8WY22;BRI3BP;106;;;
Q9H773;DCTPP1;105;;;
Q13423;NNT;105;;yes;
Q8IXU6;SLC35F2;105;;;
Q06136;KDSR;103;;yes;
Q96CU9;FOXRED1;103;;;
Q8NBX0;SCCPDH;102;;;
Q969T7;NT5C3B;102;;;
O15118;NPC1;102;yes;yes;
Q9H6K4;OPA3;102;;;
Q9NPR9;GPR108;101;;;
P55010;EIF5;101;;yes;
P00374;DHFR;100;;;
Q9Y487;ATP6V0A2;99;;;
Q6UW02;CYP20A1;99;;;
P00846;MT-ATP6;99;;;
Q9Y5M8;SRPRB;98;;;
A8MTT3;CEBPZOS;98;;;
Q8NBN3;TMEM87A;98;;;
P54802;NAGLU;97;;yes;
Q9Y619;SLC25A15;96;;;
Q9NWM8;FKBP14;96;;;
O00264;PGRMC1;95;;yes;
O14925;TIMM23;95;;;
Q96PC5;MIA2;93;;;
O15260;SURF4;93;;yes;
P21964;COMT;93;;;
Q96KA5;CLPTM1L;93;;;
P16278;GLB1;91;;yes;
Q07065;CKAP4;90;;yes;
O95831;AIFM1;90;;yes;
Q9BV86;NTMT1;90;;yes;
O43760;SYNGR2;90;;yes;
Q9Y277;VDAC3;90;;yes;
Q16740;CLPP;89;;;
P08183;ABCB1;88;;yes;
Q9NZ08;ERAP1;88;;;
Q86UE4;MTDH;88;;;
P13073;COX4I1;87;;;
Q8N4V1;MMGT1;87;;;
Q6DKK2;TTC19;86;;;
Q14739;LBR;86;;yes;
Q9BUN8;DERL1;86;;;
Q86Y39;NDUFA11;85;;;
Q8NC54;KCT2;85;;;
P05783;KRT18;84;;;
Q86YN1;DOLPP1;84;;;
P17900;GM2A;83;;;
Q9NX40;OCIAD1;83;;;
Q96N66;MBOAT7;82;;yes;
O43924;PDE6D;82;;;
O60502;OGA;81;;;
O95684;CEP43;81;;;
O95070;YIF1A;81;;;
O43731;KDELR3;80;;;
P38435;GGCX;80;;;
Q96A33;CCDC47;80;;;
Q96A57;TMEM230;80;;;
Q92791;P3H4;78;;;
P08670;VIM;78;;yes;
O43852;CALU;78;;yes;
O60888;CUTA;78;;yes;
O95772;STARD3NL;78;;yes;
Q7LGA3;HS2ST1;77;;;
P53701;HCCS;77;;;
Q6UW68;TMEM205;77;;;
Q9UMX5;NENF;76;;yes;
P11117;ACP2;76;;yes;
P00403;MT-CO2;76;;;
Q9NZ45;CISD1;76;;;
Q96KC8;DNAJC1;76;;;
Q15363;TMED2;74;;yes;
Q8N5M9;JAGN1;74;;;
P37268;FDFT1;73;;;
P30536;TSPO;73;;;
O94919;ENDOD1;73;;;
Q70UQ0;IKBIP;73;;yes;
Q9P0J0;NDUFA13;72;;;
Q8IZA0;KIAA0319L;72;;;
Q9Y6C9;MTCH2;72;;;
