FragID	X	Y	CeMM	Highlight	MW	HBD	HBA	cLogP	Heteroatoms	Rings	Rot. Bonds	Aromatic Bonds	Acidic Groups	Basic Groups	Atomic Polarizability
C001	10.43329	-36.32867	1	0	259.157228912	1.0	2.0	2.1334999999999997	3.0	3.0	2.0	6.0	0.0	0.0	44.866653000000014
C002	2.299699	41.925495	1	0	294.07866130800005	2.0	5.0	0.7865199999999998	8.0	2.0	3.0	11.0	0.0	0.0	40.16110200000001
C003	25.213821	29.15193	1	0	275.115758024	1.0	4.0	1.8430599999999995	5.0	2.0	3.0	11.0	0.0	0.0	42.043481
C004	44.1952	13.409105	1	0	264.039105004	0.0	4.0	2.6986000000000008	5.0	3.0	1.0	10.0	0.0	0.0	37.923516
C006	34.695995	-16.91189	1	0	248.16371126	1.0	4.0	1.2440999999999993	5.0	3.0	2.0	5.0	0.0	0.0	41.41786000000001
C007	24.99534	7.843427	1	0	238.038768568	1.0	3.0	2.359	7.0	1.0	2.0	5.0	0.0	0.0	27.654137
C008	23.093344	4.1920724	1	0	232.102334128	1.0	3.0	2.2693000000000003	6.0	1.0	2.0	5.0	0.0	0.0	31.853102
C009	-40.108204	-11.119571	1	0	226.168127944	0.0	2.0	1.2542	4.0	1.0	2.0	0.0	0.0	0.0	39.593446
C010	20.300673	10.583407	1	0	221.06636322	1.0	2.0	1.89532	6.0	1.0	2.0	5.0	0.0	0.0	26.882929999999998
C011	-7.3042746	-32.3752	1	0	214.110613068	1.0	2.0	1.72598	3.0	2.0	2.0	6.0	0.0	0.0	35.21710200000001
C012	-27.173574	26.381802	1	0	213.06127784	1.0	3.0	0.07869999999999977	7.0	1.0	1.0	0.0	0.0	0.0	24.164929999999995
C013	32.34885	-20.11867	1	0	210.111675688	0.0	5.0	-0.4746000000000008	6.0	2.0	2.0	5.0	0.0	0.0	31.179102000000007
C014	37.367256	-15.049108	1	0	193.1215121	1.0	3.0	0.5078999999999998	4.0	2.0	3.0	5.0	0.0	0.0	31.70389500000001
C015	-50.947495	-4.4965043	1	0	182.141913196	1.0	2.0	0.6052	3.0	3.0	1.0	0.0	0.0	1.0	32.604274000000004
C017	17.102253	18.497698	1	0	273.147726848	2.0	4.0	2.17462	5.0	3.0	3.0	10.0	0.0	0.0	43.973067000000015
C018	40.436077	26.145374	1	0	266.052526812	1.0	4.0	2.0556	6.0	2.0	3.0	11.0	0.0	0.0	35.715723
C020	-17.387684	36.554413	1	0	247.087829024	0.0	4.0	-0.1890999999999996	6.0	2.0	1.0	0.0	0.0	0.0	36.143481
C021	1.0927904	45.34856	1	0	234.01328418	2.0	4.0	0.47920000000000007	7.0	1.0	3.0	5.0	0.0	0.0	29.39393
C022	8.444472	-21.33486	1	0	227.071306368	1.0	2.0	2.2434000000000003	4.0	1.0	3.0	6.0	0.0	0.0	33.579102000000006
C023	-51.118286	4.5870667	1	0	222.136827816	0.0	3.0	1.46018	4.0	2.0	0.0	0.0	0.0	0.0	36.92627400000001
C024	19.440624	2.2601106	1	0	217.102668476	1.0	3.0	1.12464	6.0	1.0	3.0	5.0	0.0	0.0	29.724308999999998
C025	16.678469	-16.560936	1	0	213.0935831	1.0	4.0	1.4717	5.0	1.0	2.0	5.0	0.0	0.0	32.843895
C026	-0.14662601	-29.567972	1	0	209.085206844	1.0	2.0	1.7838	4.0	2.0	1.0	6.0	0.0	0.0	30.622516
C027	24.768885	28.551851	1	0	188.069810876	1.0	4.0	0.3844	5.0	2.0	1.0	11.0	0.0	0.0	26.376344000000003
C028	21.679844	7.5359535	1	0	277.10381134799997	0.0	4.0	2.2479000000000005	8.0	2.0	2.0	5.0	0.0	0.0	35.27010200000001
C029	16.267756	-35.412746	1	0	268.138719636	1.0	2.0	1.8897999999999995	5.0	2.0	3.0	6.0	0.0	1.0	40.75827400000001
C030	34.120796	-10.222009	1	0	254.137890436	3.0	5.0	-0.9009999999999998	7.0	2.0	3.0	5.0	0.0	0.0	38.168274000000004
C031	-41.341965	1.4258618	1	0	250.168127944	2.0	2.0	1.2058999999999997	4.0	4.0	2.0	0.0	0.0	0.0	43.113446
C032	-4.263568	50.52335	1	0	242.072513308	2.0	3.0	0.23079999999999995	6.0	1.0	4.0	6.0	0.0	0.0	34.441101999999994
C033	-10.056294	39.31041	1	0	232.088163372	1.0	3.0	-0.31099999999999994	6.0	2.0	1.0	0.0	0.0	0.0	34.014688
C034	-39.634605	-6.8321247	1	0	227.163376912	1.0	3.0	-0.32329999999999925	5.0	1.0	3.0	0.0	0.0	1.0	38.26665300000001
C035	17.09033	22.873497	1	0	216.126263132	1.0	2.0	2.0233999999999996	3.0	2.0	3.0	10.0	0.0	0.0	36.550688
C036	-45.02362	0.15776604	1	0	210.173213324	1.0	2.0	1.3869999999999993	3.0	3.0	2.0	0.0	0.0	1.0	38.79144600000001
C037	-11.121357	34.910923	1	0	207.056528896	1.0	4.0	-1.0638999999999994	6.0	1.0	3.0	0.0	0.0	0.0	28.196309
C038	33.736305	-13.027821	1	0	196.132411132	1.0	4.0	-0.23120000000000052	5.0	1.0	3.0	5.0	0.0	1.0	31.710688000000005
C039	44.676704	12.135717	1	0	315.13830503599996	0.0	4.0	2.9917000000000016	6.0	4.0	2.0	11.0	0.0	0.0	47.38327400000001
C040	28.203583	9.302637	1	0	301.11504472800004	1.0	5.0	2.1794399999999996	9.0	2.0	3.0	10.0	0.0	0.0	38.428102
C041	-8.253568	48.11052	1	0	281.108564468	1.0	3.0	1.8275199999999994	5.0	2.0	3.0	6.0	0.0	0.0	43.715067000000005
C042	-41.887535	-9.720876	1	0	278.163042564	0.0	3.0	1.3165999999999998	5.0	3.0	1.0	0.0	0.0	0.0	45.67544600000001
C044	44.75207	24.377943	1	0	268.132411132	1.0	4.0	2.2495000000000003	5.0	2.0	3.0	11.0	0.0	0.0	42.270688000000014
C045	-49.99962	-4.2414684	1	0	267.231062548	1.0	3.0	1.3188	4.0	2.0	4.0	0.0	0.0	2.0	49.83899700000001
C046	-10.3609295	-5.660607	1	0	264.056863244	1.0	3.0	0.017899999999999583	6.0	3.0	1.0	6.0	0.0	0.0	36.627516
C048	30.398796	29.188578	1	0	261.158960228	1.0	5.0	1.30842	6.0	2.0	4.0	10.0	0.0	0.0	41.85106700000001
C049	21.565182	18.645666	1	0	261.136493468	1.0	3.0	3.2553400000000012	4.0	2.0	3.0	10.0	0.0	0.0	42.575067000000004
C050	-10.363332	49.464424	1	0	255.067762276	1.0	5.0	0.005300000000000082	7.0	2.0	3.0	6.0	0.0	0.0	34.874309000000004
C051	-11.067593	16.770643	1	0	247.082013284	2.0	2.0	2.6308000000000007	6.0	1.0	3.0	6.0	0.0	0.0	31.736515999999998
C052	41.62132	22.904942	1	0	244.084792244	1.0	4.0	1.6360999999999999	5.0	3.0	2.0	11.0	0.0	0.0	35.48751600000001
C053	-0.06673781	-35.142612	1	0	243.021769332	0.0	1.0	2.8980000000000015	4.0	2.0	0.0	6.0	0.0	0.0	32.956723000000004
C054	-35.577477	-8.455483	1	0	243.158291532	2.0	3.0	-0.06029999999999913	6.0	1.0	3.0	0.0	0.0	0.0	39.068653
C055	20.881807	2.2108588	1	0	243.11831854	2.0	2.0	1.5164	6.0	2.0	3.0	5.0	0.0	0.0	34.57789500000001
C056	36.523952	16.9946	1	0	241.085126592	2.0	3.0	2.1825	5.0	3.0	2.0	15.0	0.0	0.0	35.118723
C057	37.363407	-24.603899	1	0	240.122240372	2.0	6.0	-0.9059999999999999	7.0	2.0	4.0	5.0	0.0	0.0	35.074688
C058	-25.75068	22.302992	1	0	238.092912316	2.0	2.0	0.5811999999999999	7.0	1.0	2.0	0.0	0.0	0.0	29.983309
C059	-32.7353	-7.161192	1	0	237.172878976	2.0	2.0	1.8438999999999999	3.0	4.0	1.0	0.0	0.0	0.0	42.68023900000001
C060	-42.7478	2.4891098	1	0	237.172878976	1.0	2.0	2.1079	3.0	4.0	3.0	0.0	0.0	0.0	42.68023900000001
C061	-19.184809	49.258198	1	0	235.087829024	1.0	4.0	-0.28529999999999966	6.0	1.0	3.0	0.0	0.0	0.0	34.383481
C062	15.90378	1.1733896	1	0	235.095691276	1.0	4.0	0.10770000000000002	6.0	4.0	2.0	5.0	0.0	0.0	33.734309
C063	17.807835	21.912241	1	0	229.1215121	1.0	3.0	1.4227999999999998	4.0	3.0	2.0	10.0	0.0	0.0	36.98389500000001
C064	19.67563	3.1478047	1	1	229.102668476	1.0	3.0	1.0554	6.0	2.0	3.0	5.0	0.0	0.0	31.484309000000003
C065	0.6080824	-5.611253	1	0	228.071034	2.0	2.0	0.4405999999999999	6.0	1.0	3.0	6.0	0.0	0.0	29.18593
C066	-38.570263	-10.310701	1	0	226.131742436	0.0	3.0	-0.1471	5.0	2.0	1.0	0.0	0.0	0.0	35.968273999999994
C067	-26.408594	17.74205	1	0	225.097663348	1.0	2.0	1.8275999999999997	6.0	1.0	2.0	0.0	0.0	0.0	29.550101999999995
C068	-40.201252	-10.293913	1	0	224.15247788	1.0	2.0	1.0560999999999994	4.0	2.0	2.0	0.0	0.0	0.0	38.25986
C069	-39.679035	24.279797	1	0	223.082013284	1.0	2.0	0.9205000000000001	6.0	2.0	0.0	0.0	0.0	0.0	28.216516
C070	19.504766	-17.190552	1	0	222.082684068	1.0	3.0	2.2575000000000003	4.0	3.0	3.0	5.0	0.0	0.0	34.59710200000001
C071	54.396126	19.7407	1	0	222.04629856	1.0	4.0	1.6915999999999995	5.0	2.0	3.0	10.0	0.0	0.0	30.971930000000004
C072	46.204266	22.425922	1	0	214.110613068	1.0	2.0	1.7657999999999996	3.0	2.0	3.0	11.0	0.0	0.0	35.217102
C073	-46.83804	-1.4010109	1	0	212.15247788	1.0	3.0	-0.22109999999999957	4.0	2.0	1.0	0.0	0.0	1.0	36.499860000000005
C074	30.926716	-20.28303	1	0	210.111675688	0.0	5.0	-0.48109999999999986	6.0	2.0	2.0	5.0	0.0	0.0	31.179102
C075	-27.574455	28.102245	1	0	209.102748728	1.0	1.0	2.0995	5.0	1.0	2.0	0.0	0.0	0.0	28.748102
C076	3.8358917	-4.283985	1	0	208.096025624	2.0	4.0	-0.6574999999999998	6.0	1.0	4.0	6.0	0.0	0.0	29.845516000000007
C077	34.51405	31.138132	1	0	206.08037556	2.0	4.0	-0.3413000000000003	6.0	2.0	2.0	10.0	0.0	0.0	28.511930000000003
C078	25.140993	28.386684	1	0	189.090211972	1.0	3.0	0.9328999999999998	4.0	2.0	1.0	10.0	0.0	0.0	29.036723000000002
C079	-48.875107	-6.885887	1	0	186.136827816	1.0	3.0	-0.15679999999999916	4.0	1.0	3.0	0.0	0.0	1.0	31.646274000000002
C080	37.161655	-17.042917	1	0	182.116761068	2.0	3.0	0.11939999999999956	5.0	1.0	3.0	5.0	0.0	0.0	28.617102000000003
C081	17.214724	7.8260264	1	0	305.13511147599996	0.0	4.0	1.9820399999999998	8.0	2.0	2.0	5.0	0.0	0.0	41.457274000000005
C082	-8.673507	52.975456	1	0	298.135113564	1.0	3.0	2.2923400000000003	6.0	1.0	5.0	6.0	0.0	0.0	46.815445999999994
C083	33.742657	15.4665575	1	0	298.07759868799997	1.0	4.0	2.3984000000000005	5.0	3.0	3.0	16.0	0.0	0.0	44.199102
C084	-5.2787075	55.808826	1	0	297.07832696	2.0	4.0	-0.8332999999999995	8.0	2.0	3.0	6.0	0.0	0.0	40.529894999999996
C085	44.067585	-17.976358	1	0	289.190260356	1.0	5.0	1.4131199999999993	6.0	5.0	3.0	5.0	2.0	0.0	48.038239000000004
C086	-17.196566	15.425186	1	0	286.092912316	1.0	2.0	1.7247999999999999	7.0	2.0	1.0	6.0	0.0	0.0	37.023309000000005
C087	35.421936	20.421808	1	0	284.13855913199995	1.0	6.0	1.0368199999999994	7.0	3.0	2.0	15.0	0.0	0.0	42.71068800000001
C088	-15.691857	47.78278	1	0	276.150763628	1.0	3.0	0.9611999999999996	6.0	1.0	4.0	0.0	0.0	0.0	44.629032
C089	20.851416	-27.573668	1	0	275.163376912	0.0	4.0	1.4275	5.0	3.0	2.0	6.0	0.0	0.0	45.306653000000004
C091	16.128416	-30.726461	1	0	266.143056068	1.0	3.0	2.3977000000000004	5.0	2.0	2.0	6.0	0.0	0.0	41.670067
C092	35.974266	12.959292	1	0	265.1215121	1.0	3.0	3.043000000000001	4.0	3.0	3.0	16.0	0.0	0.0	42.263895000000005
C093	-30.05125	39.54647	1	0	259.04899890400003	1.0	3.0	0.48810000000000003	8.0	1.0	3.0	0.0	0.0	0.0	30.158515999999995
C094	46.972614	-12.639162	1	0	257.0775966	1.0	3.0	2.5036000000000005	7.0	2.0	3.0	6.0	0.0	0.0	31.80093
C095	37.215	18.168196	1	0	255.112010036	2.0	4.0	1.9217999999999997	6.0	3.0	2.0	15.0	0.0	0.0	37.850309
C096	-41.53723	-9.437428	1	0	253.179026976	2.0	3.0	0.11150000000000126	5.0	2.0	4.0	0.0	0.0	1.0	43.120239000000005
C097	-0.8273997	52.30234	1	0	245.08341234	2.0	4.0	-0.5604999999999998	7.0	1.0	5.0	5.0	0.0	0.0	34.447895
