C001	CC(=O)N1C2CCC1CC(O)(Cc1ccccc1)C2
C002	CC(=O)Nc1cc(S(N)(=O)=O)ccc1-n1cc(C)cn1
C003	CNC(=O)COc1ccc2c(C)c(C)c(=O)oc2c1C
C004	CC(=O)N1CCc2ccsc2C1c1cscn1
C006	CNC(=O)C1CCc2nnn(C3CCCC3)c2C1
C007	CC(=O)NC(C)c1cnc(C(F)(F)F)s1
C008	CNC(=O)c1oc(C(C)(C)C)nc1C(F)F
C009	CCC1CN(C(C)=O)C(CC)CN1C(C)=O
C010	CNC(=O)Cc1c(C(F)(F)F)coc1C
C011	CNC(=O)C1(c2ccccc2C#N)CCC1
C012	CNC(=O)[C@@H]1OCCO[C@@H]1C(F)(F)F
C013	CC(=O)N1CCOC(Cn2cncn2)C1
C014	CC(=O)NCCc1cn2c(n1)CCC2
C015	CC(=O)NC1CC2CCC1N(C)C2
C017	CC(=O)Nc1ccc2c(c1)nc(C)n2C1(CO)CCC1
C018	CC(=O)Nc1ccc(F)cc1Cn1ccsc1=O
C020	CC(=O)N(C)C1CS(=O)(=O)C12CCOCC2
C021	CNC(=O)c1sccc1NS(C)(=O)=O
C022	CNC(=O)C(C)(C)Oc1ccc(Cl)cc1
C023	CC(=O)N1CCCC2(CCCCO2)C1C#N
C024	CNC(=O)c1c(C)nn(CC(F)F)c1C
C025	CC(=O)NCc1nnc(C(C)(C)C)s1
C026	CC(=O)NC1c2cccc(F)c2OC1C
C027	CNC(=O)c1ccnc2nccnc12
C028	CC(=O)N1CCCCC1c1nnc(CC(F)(F)F)o1
C029	CNC(=O)C1CCN(Cc2ccccc2)CC1(F)F
C030	CC(=O)NC[C@@H]1C[C@@H](c2n[nH]c(=O)n2C)C[C@@H]1O
C031	CC(=O)NC1C2CC3CC1CC(NC(C)=O)(C3)C2
C032	CNS(=O)(=O)c1ccccc1CNC(C)=O
C033	CNC(=O)C1CC2(C)CCCN2S1(=O)=O
C034	CCNC(=O)CN1CCCN(C(C)=O)CC1
C035	CNC(=O)C(C)Cn1ccc2ccccc21
C036	CNC(=O)C12CCC(N(C)C)(CC1)CC2
C037	CC(=O)NC1(CS(C)(=O)=O)COC1
C038	CNC(=O)C(c1cncn1C)N(C)C
C039	CC(=O)N1CCC2(CC1)CC2c1nnc(-c2cccc(F)c2)o1
C040	CC(=O)Nc1cc(C)n(Cn2nc(C(F)(F)F)cc2C)n1
C041	CNC(=O)C1(S(=O)(=O)c2ccc(C)cc2)CCCC1
C042	CC(=O)N1CCCC(N2C(=O)CC3(CCCC3)C2=O)C1
C044	CC(=O)NC(C)c1cnn(-c2ccc(C#N)cc2)c1C
C045	CC(=O)NCCC1CCN(C2CCN(C)CC2)CC1
C046	CNC(=O)C1C[S+]([O-])C2c3ccccc3C(=O)N12
C048	CC(=O)NCC(c1nnc2ccc(C)nn12)C(C)C
C049	COc1cc(C)cc2c(C)c(C(C)NC(C)=O)oc12
C050	CC(=O)NC1(c2ccnc(S(C)(=O)=O)n2)CC1
C051	CC(=O)Nc1cccc(C(O)CC(F)(F)F)c1
C052	CNC(=O)c1cc(-c2ccc3c(c2)CCO3)no1
C053	CC(=O)N1CCc2ccc(Cl)c(Cl)c2C1
C054	COC1CN(C(C)=O)CC1NC(=O)NC(C)C
C055	CC(=O)NCC(F)(F)c1[nH]nc2c1CCCC2
C056	CNC(=O)c1c[nH]nc1-c1cc2ccccc2o1
C057	CC(=O)NC[C@@H]1COC[C@H]1n1cc(CO)nn1
C058	CNC(=O)CC1(C(F)(F)F)CCC(=O)NC1
C059	CNC(=O)C12CC3(C)CC(C)(CC(O)(C3)C1)C2
C060	COC12CC3CC(CC(CNC(C)=O)(C3)C1)C2
C061	CNC(=O)C(C)S(=O)(=O)C1CCOCC1
C062	CC(=O)N1CC2CC1C2c1ocnc1C(N)=O
C063	CNC(=O)[C@@H]1C[C@H]1c1nn(C)c2ccccc12
C064	CNC(=O)Cn1nc(C(F)F)c2c1CCC2
C065	CNC(=O)CNC(=O)c1cc(F)cc(F)c1
C066	CC(=O)N1[C@H](C(=O)N(C)C)C[C@@H]2OCC[C@@H]21
C067	CNC(=O)C1CCC(OC(F)(F)F)CC1
C068	CC(=O)NC1CCN(C2CCCCC2)C1=O
C069	CC(=O)N1CC2CC1CC2(O)C(F)(F)F
C070	CNC(=O)c1sc(C2CC2)nc1C1CC1
C071	CNC(=O)Cc1csc(-c2ccoc2)n1
C072	CNC(=O)Cc1ccc(-n2cccc2)cc1
C073	CC(=O)N1C[C@H]2CN(C)CC[C@@]2(CO)C1
C074	COC1(c2cnnn2C)CN(C(C)=O)C1
C075	CC(=O)NC(C1CC1(C)C)C(F)(F)F
C076	CC(=O)NCCNC(=O)c1cnccn1
C077	CC(=O)NCc1cc(=O)n2nccc2[nH]1
C078	CNC(=O)c1nccc2ccn(C)c12
C079	CCN1CCOCC1CC(=O)NC
C080	CNC(=O)C(C)(C)Cc1cnn[nH]1
C081	CC(=O)N1CCOCC1c1c(C)nn(CC(F)(F)F)c1C
C082	CCN(CC)S(=O)(=O)c1cc(C)c(C)c(NC(C)=O)c1
C083	CNC(=O)C(c1ccccc1)n1sc2ccccc2c1=O
C084	CNC(=O)c1cccc(S(=O)(=O)N2CCNC(=O)C2)c1
C085	CNC(=O)CC12CC3CC(C1)CC(n1nnc(C)n1)(C3)C2
C086	CC(=O)N1CCNC(=O)C1c1ccccc1C(F)(F)F
C087	CNC(=O)c1nn(C)c2nc(-c3cn(C)nc3C)ccc12
C088	CCC1CN(S(=O)(=O)C(C)C)CCC1NC(C)=O
C089	CCO[C@@H]1C[C@H]2CN(C(C)=O)Cc3cccnc3N2C1
