"","Accession","fp_only_abs_sum","Gene_Symbol","comparison","Abundance_Ratio_log2_","selected_pvalues"
"1","P00813",18.34,"ADA","PC_C391_E1_20x__PC_C391_F",-2.44,0.00407069658595738
"2","P00813",18.34,"ADA","PC_C391_E10_20x__PC_C391_F",-1.43,0.0817184732122248
"3","P00813",18.34,"ADA","PC_C391_E4_20x__PC_C391_F",-1.77,0.0278190258697988
"4","P00813",18.34,"ADA","PC_C391_E6_20x__PC_C391_F",-3.86,0.00016928379791936
"5","P00813",18.34,"ADA","PC_C391_E8_20x__PC_C391_F",-1.62,0.0443937576171477
"6","P00813",18.34,"ADA","PC_C391_E9_20x__PC_C391_F",-1.98,0.0149358591132248
"7","P00813",18.34,"ADA","PC_C391_F__CRF",5.24,1.71978469892808e-05
"8","P00813",18.34,"ADA","screen_C391_F__CRF",5.6,1.111e-05
"9","P07099",17.05,"EPHX1","PC_C391_E1_20x__PC_C391_F",-1.77,0.00708576667080429
"10","P07099",17.05,"EPHX1","PC_C391_E10_20x__PC_C391_F",-2.09,0.0024419542651396
"11","P07099",17.05,"EPHX1","PC_C391_E4_20x__PC_C391_F",-2.07,0.00259252624124473
"12","P07099",17.05,"EPHX1","PC_C391_E6_20x__PC_C391_F",-2.63,0.00050002398907433
"13","P07099",17.05,"EPHX1","PC_C391_E8_20x__PC_C391_F",-2.13,0.00214014892428926
"14","P07099",17.05,"EPHX1","PC_C391_E9_20x__PC_C391_F",-2.39,0.00099018847278087
"15","P07099",17.05,"EPHX1","PC_C391_F__CRF",3.97,2.43621125081139e-05
"16","P07099",17.05,"EPHX1","screen_C391_F__CRF",4.76,6.6e-07
"17","Q00536",16.92,"CDK16","PC_C391_E1_20x__PC_C391_F",-2.27,0.00251842906728639
"18","Q00536",16.92,"CDK16","PC_C391_E10_20x__PC_C391_F",-1.91,0.00760623764986335
"19","Q00536",16.92,"CDK16","PC_C391_E4_20x__PC_C391_F",-2.08,0.00453910879192765
"20","Q00536",16.92,"CDK16","PC_C391_E6_20x__PC_C391_F",-3.08,0.00030100908029251
"21","Q00536",16.92,"CDK16","PC_C391_E8_20x__PC_C391_F",-2.16,0.00350561761106305
"22","Q00536",16.92,"CDK16","PC_C391_E9_20x__PC_C391_F",-1.1,0.137517819506724
"23","Q00536",16.92,"CDK16","PC_C391_F__CRF",4.32,2.47529191542695e-05
"24","Q00536",16.92,"CDK16","screen_C391_F__CRF",5.37,1.731e-05
"25","O75153",15.21,"CLUH","PC_C391_E1_20x__PC_C391_F",-2.39,0.00268658494051022
"26","O75153",15.21,"CLUH","PC_C391_E10_20x__PC_C391_F",-0.73,0.535973566013882
"27","O75153",15.21,"CLUH","PC_C391_E4_20x__PC_C391_F",-1.04,0.209711983801819
"28","O75153",15.21,"CLUH","PC_C391_E6_20x__PC_C391_F",-3.2,0.00035598071375664
"29","O75153",15.21,"CLUH","PC_C391_E8_20x__PC_C391_F",-1.75,0.018400338931837
"30","O75153",15.21,"CLUH","PC_C391_E9_20x__PC_C391_F",-1.88,0.0122791135737843
"31","O75153",15.21,"CLUH","PC_C391_F__CRF",4.22,4.67615830211932e-05
"32","O75153",15.21,"CLUH","screen_C391_F__CRF",4.45,1.7e-07
"33","Q9UMX5",14.92,"NENF","PC_C391_E1_20x__PC_C391_F",-1.42,0.307830952883648
