fid,smiles,tert_amine,proj_x,proj_y,sign_0,sign_1,sign_2,sign_3,sign_4,sign_5,sign_6,sign_7,sign_8,sign_9
C001,C#CCCC1(CCC(=O)N2C3CCC2CC(O)(Cc2ccccc2)C3)N=N1,0,-4.228494,-7.2768726,0.0,0.0,0.0908071007992538,0.0071433501082125,0.0018683685454668,0.0,0.0606872254327806,0.0112063639750629,0.099257896920046,0.0
C002,C#CCCC1(CCC(=O)Nc2cc(S(N)(=O)=O)ccc2-n2cc(C)cn2)N=N1,0,6.280334,-2.06531,0.0643148318362978,0.0,0.042562741585474,0.0,0.9477168297231542,0.0,0.0,0.0,0.5917029438786174,0.0
C003,C#CCCC1(CCNC(=O)COc2ccc3c(C)c(C)c(=O)oc3c2C)N=N1,0,-5.7494226,-10.303439,0.0,0.0,0.0,0.0,0.1473498021228138,0.041484077442057,0.0,0.1853113030290626,0.0089387619830882,0.0252765854356196
C004,C#CCCC1(CCC(=O)N2CCc3ccsc3C2c2cscn2)N=N1,0,-5.8181086,15.65294,0.0,0.4798733360006697,0.0739840600496182,0.0,0.0,0.0,0.048472056158657,0.0,0.5292476740237194,0.0
C006,C#CCCC1(CCNC(=O)C2CCc3nnn(C4CCCC4)c3C2)N=N1,0,-3.118028,13.006585,0.0,0.4022872146195063,0.0,0.0,0.0259627914200169,0.0,0.0,0.0,0.1141545270481565,0.0
C007,C#CCCC1(CCC(=O)NC(C)c2cnc(C(F)(F)F)s2)N=N1,0,-6.2741857,-1.8173903,0.0597562155631063,0.0,0.0456841980502785,0.1712889901391007,0.0,0.0,0.0995885373819118,0.0,0.0,0.0
C008,C#CCCC1(CCNC(=O)c2oc(C(C)(C)C)nc2C(F)F)N=N1,0,-1.1485933,-1.9886726,0.0198177775877657,0.0,0.4071733656065042,0.0618825795794563,0.0,0.0,0.2016762714302093,0.0182267505513823,0.2273991267912838,0.0
C009,C#CCCC1(CCC(=O)NC(C(=O)N2CCCCC2)C(C)C)N=N1,0,-1.4809291,-3.6289868,0.0259241692381646,0.0,0.0040240063596148,0.1132543717478896,0.0475442636847589,0.0,0.0616994668594192,0.0,0.1398001618231775,0.0
C010,C#CCCC1(CCNC(=O)Cc2c(C(F)(F)F)coc2C)N=N1,0,-8.134253,-2.74197,0.0,0.0,0.1522974492681508,0.0685900695786665,0.0,0.010142146507411,0.129127368865567,0.0,0.0121754279099277,0.0
C011,C#CCCC1(CCNC(=O)C2(c3ccccc3C#N)CCC2)N=N1,0,-12.937629,-0.67111266,0.0205079017985875,0.3029961174507664,0.4948212724063556,0.0879953590566633,0.0,0.0,0.4085356575907387,0.0381241913324153,0.0459785863569493,0.0
C012,C#CCCC1(CCNC(=O)[C@H]2OCCO[C@H]2C(F)(F)F)N=N1,0,7.108925,-14.122762,0.0,0.0,0.5775483347555966,0.01694957182847,0.0,0.0,0.0233458038886228,0.0,0.0408118094260135,0.0
C013,C#CCCC1(CCC(=O)N2CCOC(Cn3cncn3)C2)N=N1,0,7.243536,-0.54190254,0.0175108900409867,0.3346665546151615,0.0,0.0,0.8380518294301855,0.0,0.0603746763338359,0.0,0.3041271147123963,0.0
C014,C#CCCC1(CCC(=O)NCCc2cn3c(n2)CCC3)N=N1,0,7.3191223,-13.863774,0.0078816619542381,0.0,0.5805651220545778,0.0,0.0,0.0,0.0171568355142983,0.0,0.0046143982396399,0.0
C015,C#CCCC1(CCC(=O)NC2CC3CCC2N(C)C3)N=N1,1,6.358302,-13.67182,0.0801439158419715,0.0,0.5141269158579834,0.0,0.0,0.0,0.0,0.0151954275061395,0.1911314356244509,0.0
C017,C#CCCC1(CCC(=O)Nc2ccc3c(c2)nc(C)n3C2(CO)CCC2)N=N1,0,3.1389425,-6.8511367,0.2186271922106086,0.0187313685084856,0.0,0.0,0.0,0.0,0.0,0.0,0.7256521136522843,0.2430120762970185
C018,C#CCCC1(CCC(=O)Nc2ccc(F)cc2Cn2ccsc2=O)N=N1,0,-8.050225,-11.309514,0.0,0.0979028497795648,0.1620430316106481,0.0814660458441645,0.006263368334485,0.0160290994994948,0.0,0.4390021014268325,0.0786293344297645,0.0
C020,C#CCCC1(CCC(=O)N(C)C2CS(=O)(=O)C23CCOCC3)N=N1,0,-1.1958343,2.6591218,0.0150203139548653,0.0,0.0,0.4016247068646367,0.0,0.0,0.0,0.0,0.0,0.0
C021,C#CCCC1(CCNC(=O)c2sccc2NS(C)(=O)=O)N=N1,0,-3.4591825,-0.82140803,0.0,0.1132837404537735,0.0715762565864531,0.1896233778945059,0.0138259405781282,0.0128498621594703,0.0,0.0577697355104942,0.0,0.0
C022,C#CCCC1(CCNC(=O)C(C)(C)Oc2ccc(Cl)cc2)N=N1,0,7.1624646,13.897322,0.376925225788468,0.0,0.2028036879365048,0.0,0.0063867483530377,0.0124382997869813,0.6221127820884349,0.0,0.0,0.0
C023,C#CCCC1(CCC(=O)N2CCCC3(CCCCO3)C2C#N)N=N1,0,16.59331,0.522116,0.0,0.180873253261158,0.0442621189143868,0.087620168892835,0.0,0.4313086097824946,0.0,0.0,0.1847329924654394,0.0
C024,C#CCCC1(CCNC(=O)c2c(C)nn(CC(F)F)c2C)N=N1,0,-0.27415133,-11.481906,0.0,0.0171799116310223,0.2986378222526399,0.3063609612263449,0.0195923151974993,0.0,0.0,0.173629706849694,0.136658837044398,0.0
C025,C#CCCC1(CCC(=O)NCc2nnc(C(C)(C)C)s2)N=N1,0,2.0388103,-6.220949,0.0228264298309244,0.0,0.0368428525713931,0.0,0.0,0.0,0.0027002269302824,0.0,0.3860970656718834,0.0
C026,C#CCCC1(CCC(=O)NC2c3cccc(F)c3OC2C)N=N1,0,-12.130467,-0.8347926,0.1034689702989448,0.0,0.2844717983663847,0.0979013721388121,0.0,0.0,0.3816884661737443,0.0,0.0,0.0
C027,C#CCCC1(CCNC(=O)c2ccnc3nccnc23)N=N1,0,-10.593714,-2.1169288,0.1017903546534856,0.0188599600278165,0.0,0.0111802255692247,0.2538426078970251,0.0,0.1807588805695302,0.0,0.0,0.0
C028,C#CCCC1(CCC(=O)N2CCCCC2c2nnc(CC(F)(F)F)o2)N=N1,0,2.1375365,-1.8900272,0.0,0.0,0.0,0.2311096090900792,0.0,0.0,0.0,0.0,0.3982240148782223,0.0
C029,C#CCCC1(CCNC(=O)C2CCN(Cc3ccccc3)CC2(F)F)N=N1,1,-5.6639423,-4.38969,0.0072984451872941,0.0,0.0308741286065424,0.0785668107797203,0.0025678186386803,0.0195298150660349,0.0,0.0448882652716926,0.0294927665070089,0.0
C030,C#CCCC1(CCC(=O)NC[C@H]2C[C@H](c3n[nH]c(=O)n3C)C[C@H]2O)N=N1,0,-4.8560157,4.930139,0.0,0.0,0.0,0.3899665448824109,0.0,0.0398025213983688,0.0,0.6114284585106178,0.0,0.0
C031,C#CCCC1(CCC(=O)NC2C3CC4CC2CC(NC(C)=O)(C4)C3)N=N1,0,-4.2889442,5.0649824,0.0,0.0,0.0,0.7751806300034428,0.0,0.0,0.0,0.4930558732626613,0.0,0.0
