A0A024RBG1	NUDIX hydrolase-like domain superfamily [IPR015797]
A0A075B6H7	Immunoglobulin-like fold [IPR013783]
A0A075B6H7	Immunoglobulin-like domain superfamily [IPR036179]
A0A075B6H8	Immunoglobulin-like fold [IPR013783]
A0A075B6H8	Immunoglobulin-like domain superfamily [IPR036179]
A0A075B6H9	Immunoglobulin-like fold [IPR013783]
A0A075B6H9	Immunoglobulin-like domain superfamily [IPR036179]
A0A075B6I0	Immunoglobulin-like fold [IPR013783]
A0A075B6I0	Immunoglobulin-like domain superfamily [IPR036179]
A0A075B6I1	Immunoglobulin-like domain superfamily [IPR036179]
A0A075B6I1	Immunoglobulin-like fold [IPR013783]
A0A075B6I3	Immunoglobulin-like fold [IPR013783]
A0A075B6I3	Immunoglobulin-like domain superfamily [IPR036179]
A0A075B6I4	Immunoglobulin-like domain superfamily [IPR036179]
A0A075B6I4	Immunoglobulin-like fold [IPR013783]
A0A075B6I6	Immunoglobulin-like fold [IPR013783]
A0A075B6I6	Immunoglobulin-like domain superfamily [IPR036179]
A0A075B6I7	Immunoglobulin-like domain superfamily [IPR036179]
A0A075B6I7	Immunoglobulin-like fold [IPR013783]
A0A075B6I9	Immunoglobulin-like fold [IPR013783]
A0A075B6I9	Immunoglobulin-like domain superfamily [IPR036179]
A0A075B6J1	Immunoglobulin-like domain superfamily [IPR036179]
A0A075B6J1	Immunoglobulin-like fold [IPR013783]
A0A075B6J2	Immunoglobulin-like fold [IPR013783]
A0A075B6J2	Immunoglobulin-like domain superfamily [IPR036179]
A0A075B6J6	Immunoglobulin-like domain superfamily [IPR036179]
A0A075B6J6	Immunoglobulin-like fold [IPR013783]
A0A075B6J9	Immunoglobulin-like fold [IPR013783]
A0A075B6J9	Immunoglobulin-like domain superfamily [IPR036179]
A0A075B6K0	Immunoglobulin-like fold [IPR013783]
A0A075B6K0	Immunoglobulin-like domain superfamily [IPR036179]
A0A075B6K2	Immunoglobulin-like domain superfamily [IPR036179]
A0A075B6K2	Immunoglobulin-like fold [IPR013783]
A0A075B6K4	Immunoglobulin-like fold [IPR013783]
A0A075B6K4	Immunoglobulin-like domain superfamily [IPR036179]
A0A075B6K5	Immunoglobulin-like fold [IPR013783]
A0A075B6K5	Immunoglobulin-like domain superfamily [IPR036179]
A0A075B6K6	Immunoglobulin-like fold [IPR013783]
A0A075B6K6	Immunoglobulin-like domain superfamily [IPR036179]
A0A075B6L2	Immunoglobulin-like fold [IPR013783]
A0A075B6L2	Immunoglobulin-like domain superfamily [IPR036179]
A0A075B6L6	Immunoglobulin-like domain superfamily [IPR036179]
A0A075B6L6	Immunoglobulin-like fold [IPR013783]
A0A075B6N1	Immunoglobulin-like fold [IPR013783]
A0A075B6N1	Immunoglobulin-like domain superfamily [IPR036179]
A0A075B6N2	Immunoglobulin-like domain superfamily [IPR036179]
A0A075B6N2	Immunoglobulin-like fold [IPR013783]
A0A075B6N3	Immunoglobulin-like fold [IPR013783]
A0A075B6N3	Immunoglobulin-like domain superfamily [IPR036179]
A0A075B6N4	Immunoglobulin-like fold [IPR013783]
A0A075B6N4	Immunoglobulin-like domain superfamily [IPR036179]
A0A075B6P5	Immunoglobulin-like fold [IPR013783]
A0A075B6P5	Immunoglobulin-like domain superfamily [IPR036179]
A0A075B6Q5	Immunoglobulin-like fold [IPR013783]
