P32929	Cystathionine gamma-lyase
P32929	Lyase
P32929	Enzyme
Q8IWX8	Calcium homeostasis endoplasmic reticulum protein
Q8IWX8	RNA binding protein
Q8IWX8	Nucleic acid binding
O94983	Calmodulin-binding transcription activator 2
O94983	Transcription factor
Q86VU5	Catechol O-methyltransferase domain-containing protein 1
Q86VU5	Methyltransferase
Q86VU5	Transferase
Q86VU5	Enzyme
P42695	Condensin-2 complex subunit D3
P42695	Nucleic acid binding
Q96KP4	Cytosolic non-specific dipeptidase
Q96KP4	Metalloprotease
Q96KP4	Protease
Q96KP4	Enzyme
Q13956	Retinal cone rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit gamma
Q13956	Esterase
Q13956	Hydrolase
Q13956	Enzyme
O95406	Protein cornichon homolog 1
O95406	Membrane-bound signaling molecule
O95406	Signaling
P18545	Retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit gamma
P18545	Esterase
P18545	Hydrolase
P18545	Enzyme
P26992	Ciliary neurotrophic factor receptor subunit alpha
P26992	Cytokine
P26992	Signaling
P27658	Collagen alpha-1(VIII) chain
P27658	Extracellular matrix structural protein
P27658	Extracellular structure
P0C0L5	Complement C4-B
P0C0L5	Serine protease inhibitor
P0C0L5	Protease inhibitor
P0C0L5	Enzyme modulator
Q13057	Bifunctional coenzyme A synthase
Q13057	Transferase
Q13057	Enzyme
P00414	Cytochrome c oxidase subunit 3
P00414	Oxidase
P00414	Oxidoreductase
P00414	Enzyme
O60397	Putative cytochrome c oxidase subunit 7A3, mitochondrial
O60397	Oxidase
O60397	Oxidoreductase
O60397	Enzyme
O43174	Cytochrome P450 26A1
O43174	Oxygenase
O43174	Oxidoreductase
O43174	Enzyme
P22680	Cholesterol 7-alpha-monooxygenase
P22680	Oxygenase
P22680	Oxidoreductase
P22680	Enzyme
P05177	Cytochrome P450 1A2
P05177	Oxygenase
P05177	Oxidoreductase
P05177	Enzyme
O43809	Cleavage and polyadenylation specificity factor subunit 5
O43809	mRNA splicing factor
O43809	mRNA processing factor
O43809	RNA binding protein
O43809	Nucleic acid binding
Q02318	Sterol 26-hydroxylase, mitochondrial
Q02318	Oxygenase
Q02318	Oxidoreductase
Q02318	Enzyme
Q16678	Cytochrome P450 1B1
Q16678	Oxygenase
Q16678	Oxidoreductase
Q16678	Enzyme
O94985	Calsyntenin-1
O94985	Calcium-binding protein
Q96RT6	cTAGE family member 2
Q96RT6	Growth factor
Q96RT6	Signaling
Q8IX95	Putative cTAGE family member 3
Q8IX95	Growth factor
Q8IX95	Signaling
Q53GD3	Choline transporter-like protein 4
Q53GD3	SLC44 choline transporter-like family
Q53GD3	SLC superfamily of solute carriers
Q53GD3	Transporter
O43310	CBP80/20-dependent translation initiation factor
O43310	RNA binding protein
O43310	Nucleic acid binding
Q8NCS7	Choline transporter-like protein 5
Q8NCS7	SLC44 choline transporter-like family
Q8NCS7	SLC superfamily of solute carriers
Q8NCS7	Transporter
P26232	Catenin alpha-2
P26232	Non-motor actin binding protein
P26232	Actin family cytoskeletal protein
P26232	Cellular structure
A4FU28	cTAGE family member 9
A4FU28	Growth factor
A4FU28	Signaling
P29279	Connective tissue growth factor
P29279	Growth factor
P29279	Signaling
P52569	Cationic amino acid transporter 2
P52569	SLC7 family
P52569	SLC3 and SLC7 families of heteromeric amino acid transporters (HATs)
P52569	SLC superfamily of solute carriers
P52569	Transporter
Q7RTX7	Cation channel sperm-associated protein 4
Q7RTX7	Cation channel sperm-associated family
Q7RTX7	Ion channel
P06733	Alpha-enolase
P06733	Lyase
P06733	Enzyme
P39880	Homeobox protein cut-like 1
P39880	Homeodomain transcription factor
P39880	Helix-turn-helix transcription factor
P39880	Transcription factor
P13929	Beta-enolase
P13929	Lyase
P13929	Enzyme
P09104	Gamma-enolase
P09104	Lyase
P09104	Enzyme
Q02221	Cytochrome c oxidase subunit 6A2, mitochondrial
Q02221	Oxidase
Q02221	Oxidoreductase
Q02221	Enzyme
Q969M2	Gap junction alpha-10 protein
Q969M2	Gap junction
Q969M2	Cell-cell junction
P48165	Gap junction alpha-8 protein
P48165	Gap junction
P48165	Cell-cell junction
P35212	Gap junction alpha-4 protein
P35212	Gap junction
P35212	Cell-cell junction
O95452	Gap junction beta-6 protein
O95452	Gap junction
O95452	Cell-cell junction
P19876	C-X-C motif chemokine 3
P19876	Chemokine
P19876	Signaling
P08034	Gap junction beta-1 protein
P08034	Gap junction
P08034	Cell-cell junction
P80162	C-X-C motif chemokine 6
P80162	Chemokine
P80162	Signaling
P02775	Platelet basic protein
P02775	Chemokine
P02775	Signaling
O75712	Gap junction beta-3 protein
O75712	Gap junction
O75712	Cell-cell junction
Q96KN9	Gap junction delta-4 protein
Q96KN9	Gap junction
Q96KN9	Cell-cell junction
P25025	C-X-C chemokine receptor type 2
P25025	Chemokine receptor
P25025	Class A rhodopsin like
P25025	G-protein coupled receptor
A6NN92	Putative gap junction epsilon-1 protein
A6NN92	Gap junction
A6NN92	Cell-cell junction
P61073	C-x-c chemokine receptor type 4
P61073	C-X-C chemokine receptor
P61073	Chemokine receptor
P61073	Class A rhodopsin like
P61073	G-protein coupled receptor
P00167	Cytochrome b5
P00167	Oxidase
P00167	Oxidoreductase
P00167	Enzyme
Q9HB71	Calcyclin-binding protein
Q9HB71	Ubiquitin-protein ligase
Q9HB71	Ligase
Q9HB71	Enzyme
P00403	Cytochrome c oxidase subunit 2
P00403	Oxidoreductase
P00403	Enzyme
O14548	Cytochrome c oxidase subunit 7A-related protein, mitochondrial
O14548	Oxidase
O14548	Oxidoreductase
O14548	Enzyme
O75718	Cartilage-associated protein
O75718	Extracellular structure
O75462	Cytokine receptor-like factor 1
O75462	Cytokine
O75462	Signaling
Q9HC73	Cytokine receptor-like factor 2
Q9HC73	Cytokine
Q9HC73	Signaling
Q9Y2W7	Calsenilin
Q9Y2W7	Ion channel
P0DML2	Chorionic somatomammotropin hormone 1
P0DML2	Growth factor
P0DML2	Signaling
P15509	Granulocyte-macrophage colony-stimulating factor receptor subunit alpha
P15509	Cytokine
P15509	Signaling
Q99062	Granulocyte colony-stimulating factor receptor
Q99062	Cytokine
Q99062	Signaling
Q8WXE0	Caskin-2
Q8WXE0	Receptor
Q7L5N1	COP9 signalosome complex subunit 6
Q7L5N1	Metalloprotease
Q7L5N1	Protease
Q7L5N1	Enzyme
Q99708	DNA endonuclease RBBP8
Q99708	Transcription cofactor
Q99708	Transcription factor
P35221	Catenin alpha-1
P35221	Non-motor actin binding protein
P35221	Actin family cytoskeletal protein
P35221	Cellular structure
Q8WWI5	Choline transporter-like protein 1
Q8WWI5	SLC44 choline transporter-like family
Q8WWI5	SLC superfamily of solute carriers
Q8WWI5	Transporter
A4D2H0	cTAGE family member 15
A4D2H0	Growth factor
A4D2H0	Signaling
Q13619	Cullin-4A
Q13619	Ubiquitin-protein ligase
Q13619	Ligase
Q13619	Enzyme
O14529	Homeobox protein cut-like 2
O14529	Homeodomain transcription factor
O14529	Helix-turn-helix transcription factor
O14529	Transcription factor
P19875	C-X-C motif chemokine 2
P19875	Chemokine
P19875	Signaling
P42830	C-X-C motif chemokine 5
P42830	Chemokine
P42830	Signaling
P32302	C-x-c chemokine receptor type 5
P32302	C-X-C chemokine receptor
P32302	Chemokine receptor
P32302	Class A rhodopsin like
P32302	G-protein coupled receptor
Q9NTQ9	Gap junction beta-4 protein
Q9NTQ9	Gap junction
Q9NTQ9	Cell-cell junction
O43927	C-X-C motif chemokine 13
O43927	Chemokine
O43927	Signaling
P49447	Cytochrome b561
P49447	Reductase
P49447	Oxidoreductase
P49447	Enzyme
P04839	Cytochrome b-245 heavy chain
P04839	Phagocyte (gp91(phox)) nadph oxidase family
P04839	Ion channel
Q53TN4	Cytochrome b reductase 1
Q53TN4	Reductase
Q53TN4	Oxidoreductase
Q53TN4	Enzyme
Q03701	CCAAT/enhancer-binding protein zeta
Q03701	Transcription factor
Q9HCU4	Cadherin egf lag seven-pass g-type receptor 2
Q9HCU4	Cadherin EGF LAG (CELSR) receptor
Q9HCU4	Adhesion class
Q9HCU4	G-protein coupled receptor
Q16739	Ceramide glucosyltransferase
Q16739	Glycosyltransferase
Q16739	Transferase
Q16739	Enzyme
Q9NYQ6	Cadherin egf lag seven-pass g-type receptor 1
Q9NYQ6	Cadherin EGF LAG (CELSR) receptor
Q9NYQ6	Adhesion class
Q9NYQ6	G-protein coupled receptor
O15182	Centrin-3
O15182	Calmodulin
O15182	Intracellular calcium-sensing protein
O15182	Calcium-binding protein
Q8N6G5	Chondroitin sulfate N-acetylgalactosaminyltransferase 2
Q8N6G5	Glycosyltransferase
Q8N6G5	Transferase
Q8N6G5	Enzyme
P61604	10 kDa heat shock protein, mitochondrial
P61604	Chaperonin
P61604	Chaperone
P09622	Dihydrolipoyl dehydrogenase, mitochondrial
P09622	Dehydrogenase
P09622	Oxidoreductase
P09622	Enzyme
Q8TBE1	Protein cornichon homolog 3
Q8TBE1	Membrane-bound signaling molecule
Q8TBE1	Signaling
Q8IV77	Cyclic nucleotide-gated cation channel alpha-4
Q8IV77	CNGA4 subfamily
Q8IV77	Cyclic nucleotide-gated cation channel family
Q8IV77	Ion channel
Q9P003	Protein cornichon homolog 4
Q9P003	Transporter
Q14028	Cyclic nucleotide-gated cation channel beta-1
Q14028	CNGB1 subfamily
Q14028	Cyclic nucleotide-gated cation channel family
Q14028	Ion channel
P04440	HLA class II histocompatibility antigen, DP beta 1 chain
P04440	Major histocompatibility complex antigen
P04440	Immune response
P51911	Calponin-1
P51911	Non-motor actin binding protein
P51911	Actin family cytoskeletal protein
P51911	Cellular structure
Q86SG4	Putative Dresden prostate carcinoma protein 2
Q86SG4	Chromatin/chromatin-binding protein
Q86SG4	DNA binding protein
Q86SG4	Nucleic acid binding
O75175	CCR4-NOT transcription complex subunit 3
O75175	Transcription factor
