Q04828	reductase
Q53ET0	transcription cofactor
Q92800	histone modifying enzyme
Q9NXS2	transferase
Q96C90	phosphatase modulator
P06756	integrin
Q8TED4	transporter
O43426	phosphatase
P52298	RNA metabolism protein
Q2M1P5	microtubule binding motor protein
Q86YN6	transcription cofactor
Q8WZ75	scaffold/adaptor protein
Q9Y5E7	cadherin
Q9UNW1	phosphatase
P41247	phospholipase
Q9NQV6	C2H2 zinc finger transcription factor
P07711	cysteine protease
Q07011	transmembrane signal receptor
Q9Y5H6	cadherin
Q9BQB6	oxidoreductase
Q13445	vesicle coat protein
P51449	C4 zinc finger nuclear receptor
Q9BUZ4	scaffold/adaptor protein
Q14002	immunoglobulin receptor superfamily
P10144	serine protease
Q7Z444	small GTPase
P56746	tight junction
Q9UM21	transferase
P0C6T2	protein modifying enzyme
Q02325	serine protease
Q3SY46	structural protein
O95343	homeodomain transcription factor
G3V0H7	transporter
Q8NDY3	hydrolase
Q8NGZ2	G-protein coupled receptor
Q9C0E2	transporter
Q8IZF4	G-protein coupled receptor
Q66K79	protease
Q969J2	C2H2 zinc finger transcription factor
P78556	cytokine
O75469	C4 zinc finger nuclear receptor
Q7Z7M1	G-protein coupled receptor
P80098	cytokine
Q9HCU4	cadherin
Q13523	non-receptor serine/threonine protein kinase
P59910	chaperone
Q9H344	transmembrane signal receptor
Q8TE73	microtubule binding motor protein
Q68CQ7	glycosyltransferase
P57771	GTPase-activating protein
P35548	homeodomain transcription factor
O14498	immunoglobulin superfamily cell adhesion molecule
P43694	DNA-binding transcription factor
P01768	immunoglobulin
Q14980	microtubule or microtubule-binding cytoskeletal protein
Q96DM1	viral or transposable element protein
Q13835	intermediate filament binding protein
Q96BP3	chaperone
Q9Y6M0	serine protease
Q8TBE7	transporter
Q8N130	secondary carrier transporter
Q9NZN4	membrane traffic protein
O14521	oxidoreductase
P84085	G-protein
Q96HQ2	DNA-binding transcription factor
P49755	vesicle coat protein
Q8IW93	guanyl-nucleotide exchange factor
Q9Y3B7	ribosomal protein
Q6KCM7	mitochondrial carrier protein
Q8NEM1	DNA-binding transcription factor
Q9GZN2	homeodomain transcription factor
Q86V40	metalloprotease
Q8N1T3	actin binding motor protein
Q9NPF5	chromatin/chromatin-binding, or -regulatory protein
P61163	actin and actin related protein
Q96LD8	protease
Q8IZJ0	interleukin superfamily
O75694	transporter
Q9H255	transmembrane signal receptor
P49585	transferase
Q6UWM7	glycosidase
Q8NHA4	transmembrane signal receptor
P35556	extracellular matrix structural protein
Q7Z4T8	glycosyltransferase
Q8NGS7	transmembrane signal receptor
P20810	protease inhibitor
Q9Y3D3	ribosomal protein
Q86W10	oxygenase
Q8IUN9	membrane traffic protein
O95750	growth factor
P0CI00	C2H2 zinc finger transcription factor
Q9NTJ5	phosphatase
A0A075B6K2	immunoglobulin
Q9P0V8	immunoglobulin receptor superfamily
Q99741	replication origin binding protein
Q6UW02	oxygenase
P23560	neurotrophic factor
Q86VI4	transporter
P10145	chemokine
Q96QF7	HMG box transcription factor
Q5DT21	protease inhibitor
Q8N139	ATP-binding cassette (ABC) transporter
A0PJE2	dehydrogenase
P17948	transmembrane signal receptor
A0A087X1C5	oxygenase
A0A0C4DH24	immunoglobulin
Q16549	serine protease
Q9UHY7	phosphatase
Q9NQR4	hydrolase
Q8N196	homeodomain transcription factor
P59544	transmembrane signal receptor
P56975	growth factor
Q8NFH8	membrane traffic protein
Q9H427	ion channel
Q969T3	scaffold/adaptor protein
Q9BUN5	transmembrane signal receptor
Q8NDX5	chromatin/chromatin-binding, or -regulatory protein
O75489	dehydrogenase
Q9UI14	membrane traffic protein
Q14247	non-motor actin binding protein
Q969E4	general transcription factor
Q15776	C2H2 zinc finger transcription factor
Q5JY77	basic helix-loop-helix transcription factor
Q9NVV9	zinc finger transcription factor
Q5VUM1	chaperone
A5A3E0	membrane traffic protein
Q13606	transmembrane signal receptor
P0CI25	ubiquitin-protein ligase
Q13461	winged helix/forkhead transcription factor
P82279	cell adhesion molecule
Q14802	primary active transporter
Q99584	calmodulin-related
Q5T7W7	transferase
Q8NGH9	transmembrane signal receptor
Q8IZ69	RNA methyltransferase
Q15773	intercellular signal molecule
P30154	phosphatase modulator
Q9NX14	oxidoreductase
A0A0C4DH39	immunoglobulin
P43631	immunoglobulin receptor superfamily
P15923	basic helix-loop-helix transcription factor
Q8N8S7	scaffold/adaptor protein
Q86T26	serine protease
Q9Y4X5	ubiquitin-protein ligase
A0A075B6R2	immunoglobulin
Q8NGK1	transmembrane signal receptor
Q16515	ion channel
Q12906	RNA metabolism protein
Q92785	histone modifying enzyme
Q9H3V2	transporter
Q9P1Z0	C2H2 zinc finger transcription factor
Q13123	cytokine
O75843	membrane traffic protein
P01133	transmembrane signal receptor
Q92765	transmembrane signal receptor
Q9H2A9	transferase
Q9UH92	DNA-binding transcription factor
P62195	protease
Q99679	G-protein coupled receptor
P03886	dehydrogenase
Q9P2J5	aminoacyl-tRNA synthetase
Q9NVM6	chaperone
O76099	transmembrane signal receptor
Q9BWX5	DNA-binding transcription factor
P50443	transporter
Q03188	centromere DNA-binding protein
Q96JD6	reductase
Q6NZY4	RNA metabolism protein
P51795	ion channel
Q96BJ8	scaffold/adaptor protein
Q8NHS4	vesicle coat protein
Q86YG4	nucleotide phosphatase
Q6BCY4	reductase
P27449	ATP synthase
P59666	antimicrobial response protein
Q9H7N4	RNA splicing factor
A6NDV4	cell adhesion molecule
Q86Y07	non-receptor serine/threonine protein kinase
Q9Y696	ion channel
O60479	homeodomain transcription factor
P01236	peptide hormone
Q8NH37	transmembrane signal receptor
O43868	transporter
A0A087WT02	immunoglobulin
P32856	SNARE protein
Q5T2T1	scaffold/adaptor protein
P29992	heterotrimeric G-protein
Q8N3C7	chaperone
O43464	serine protease
A0A0C4DH35	immunoglobulin
Q9H4I8	hydrolase
P17936	protease inhibitor
Q8IWZ3	defense/immunity protein
P12268	dehydrogenase
Q08426	dehydrogenase
Q8NGB4	transmembrane signal receptor
Q9UK10	C2H2 zinc finger transcription factor
P48664	primary active transporter
Q9P2W1	DNA metabolism protein
Q9UBK9	general transcription factor
P22079	peroxidase
Q5DID0	transmembrane signal receptor
O43278	protease inhibitor
O95221	G-protein coupled receptor
O14668	serine protease
P52739	C2H2 zinc finger transcription factor
Q9UJ68	reductase
Q08J23	RNA methyltransferase
Q2L4Q9	serine protease
P28072	protease
Q5HYJ1	dehydrogenase
Q7Z624	protein modifying enzyme
Q9BQI5	actin or actin-binding cytoskeletal protein
O75112	actin or actin-binding cytoskeletal protein
Q86VI1	membrane traffic protein
P50219	homeodomain transcription factor
O00151	actin or actin-binding cytoskeletal protein
Q03519	ATP-binding cassette (ABC) transporter
Q86TC9	scaffold/adaptor protein
Q96KC8	chaperone
Q9NSA1	growth factor
Q8TD23	DNA-binding transcription factor
Q86TW2	ATP-binding cassette (ABC) transporter
Q96LR4	chemokine
Q3V5L5	glycosyltransferase
A6NDK9	membrane traffic protein
Q8N2M8	RNA splicing factor
Q9UHR4	scaffold/adaptor protein
Q16609	serine protease
Q15382	small GTPase
